generated_with_k2,ctl_T,atl_T,total_hours,p_T,race_time_min
0.5,91.949,57.551,149.2,5.622499999999988,163.68297479999998
0.8,88.988,52.253,147.6,10.608499999999992,142.1381727
1.5,81.641,46.539,143.5,11.832499999999996,140.177964
3.5,75.423,44.438,138.2,8.765999999999991,147.644971
