plan,avg_weekly_hours,total_hours,hard_share_pct,avg_weekly_trimp,hours_cv_pct
actual (last 16w),6.6,105.6,37.3,518.0,21.4
Model 1 optimal,9.0,143.5,15.1,687.0,26.2
